Month,Closing Values
1-May-1975,832.29
1-Jun-1975,878.99
1-Jul-1975,831.51
1-Aug-1975,835.34
1-Sep-1975,793.88
1-Oct-1975,836.04
1-Nov-1975,860.67
1-Dec-1975,852.41
1-Jan-1976,975.28
1-Feb-1976,972.61
1-Mar-1976,999.45
1-Apr-1976,996.85
1-May-1976,975.23
1-Jun-1976,1002.78
1-Jul-1976,984.64
1-Aug-1976,973.74
1-Sep-1976,990.19
1-Oct-1976,964.93
1-Nov-1976,947.22
1-Dec-1976,1004.65
1-Jan-1977,954.37
1-Feb-1977,936.42
1-Mar-1977,919.13
1-Apr-1977,926.90
1-May-1977,898.66
1-Jun-1977,916.30
1-Jul-1977,890.07
1-Aug-1977,861.49
1-Sep-1977,847.11
1-Oct-1977,818.35
1-Nov-1977,829.70
1-Dec-1977,831.17
1-Jan-1978,769.92
1-Feb-1978,742.12
1-Mar-1978,757.36
1-Apr-1978,837.32
1-May-1978,840.61
1-Jun-1978,818.95
1-Jul-1978,862.27
1-Aug-1978,876.82
1-Sep-1978,865.82
1-Oct-1978,792.45
1-Nov-1978,799.03
1-Dec-1978,805.01
1-Jan-1979,839.22
1-Feb-1979,808.82
1-Mar-1979,862.18
1-Apr-1979,854.90
1-May-1979,822.33
1-Jun-1979,841.98
1-Jul-1979,846.42
1-Aug-1979,887.63
1-Sep-1979,878.58
1-Oct-1979,815.70
1-Nov-1979,822.35
1-Dec-1979,838.74
1-Jan-1980,875.85
1-Feb-1980,863.14
1-Mar-1980,785.75
1-Apr-1980,817.06
1-May-1980,850.85
1-Jun-1980,867.92
1-Jul-1980,935.32
1-Aug-1980,932.59
1-Sep-1980,932.42
1-Oct-1980,924.49
1-Nov-1980,993.34
1-Dec-1980,963.99
1-Jan-1981,947.27
1-Feb-1981,974.58
1-Mar-1981,1003.87
1-Apr-1981,997.75
1-May-1981,991.75
1-Jun-1981,976.88
1-Jul-1981,952.34
1-Aug-1981,881.47
1-Sep-1981,849.98
1-Oct-1981,852.55
1-Nov-1981,888.98
1-Dec-1981,875.00
1-Jan-1982,871.10
1-Feb-1982,824.39
1-Mar-1982,822.77
1-Apr-1982,848.36
1-May-1982,819.54
1-Jun-1982,811.93
1-Jul-1982,808.60
1-Aug-1982,901.31
1-Sep-1982,896.25
1-Oct-1982,991.72
1-Nov-1982,1039.28
1-Dec-1982,1046.54
1-Jan-1983,1075.70
1-Feb-1983,1112.16
1-Mar-1983,1130.03
1-Apr-1983,1226.20
1-May-1983,1199.98
1-Jun-1983,1221.96
1-Jul-1983,1199.22
1-Aug-1983,1216.16
1-Sep-1983,1233.13
1-Oct-1983,1225.20
1-Nov-1983,1276.02
1-Dec-1983,1258.64
1-Jan-1984,1220.58
1-Feb-1984,1154.63
1-Mar-1984,1164.89
1-Apr-1984,1170.75
1-May-1984,1104.85
1-Jun-1984,1132.40
1-Jul-1984,1115.28
1-Aug-1984,1224.38
1-Sep-1984,1206.71
1-Oct-1984,1207.38
1-Nov-1984,1188.94
1-Dec-1984,1211.57
1-Jan-1985,1286.77
1-Feb-1985,1284.01
1-Mar-1985,1266.78
1-Apr-1985,1258.06
1-May-1985,1315.41
1-Jun-1985,1335.46
1-Jul-1985,1347.45
1-Aug-1985,1334.01
1-Sep-1985,1328.63
1-Oct-1985,1374.31
1-Nov-1985,1472.13
1-Dec-1985,1546.67
1-Jan-1986,1570.99
1-Feb-1986,1709.06
1-Mar-1986,1818.61
1-Apr-1986,1783.98
1-May-1986,1876.71
1-Jun-1986,1892.72
1-Jul-1986,1775.31
1-Aug-1986,1898.34
1-Sep-1986,1767.58
1-Oct-1986,1877.71
1-Nov-1986,1914.23
1-Dec-1986,1895.95
1-Jan-1987,2158.04
1-Feb-1987,2223.99
1-Mar-1987,2304.69
1-Apr-1987,2286.36
1-May-1987,2291.57
1-Jun-1987,2418.53
1-Jul-1987,2572.07
1-Aug-1987,2662.95
1-Sep-1987,2596.28
1-Oct-1987,1993.53
1-Nov-1987,1833.55
1-Dec-1987,1938.83
1-Jan-1988,1958.22
1-Feb-1988,2071.62
1-Mar-1988,1988.06
1-Apr-1988,2032.33
1-May-1988,2031.12
1-Jun-1988,2141.71
1-Jul-1988,2128.73
1-Aug-1988,2031.65
1-Sep-1988,2112.91
1-Oct-1988,2148.65
1-Nov-1988,2114.51
1-Dec-1988,2168.57
1-Jan-1989,2342.32
1-Feb-1989,2258.39
1-Mar-1989,2293.62
1-Apr-1989,2418.80
1-May-1989,2480.15
1-Jun-1989,2440.06
1-Jul-1989,2660.66
1-Aug-1989,2737.27
1-Sep-1989,2692.82
1-Oct-1989,2645.08
1-Nov-1989,2706.27
1-Dec-1989,2753.20
1-Jan-1990,2590.54
1-Feb-1990,2627.25
1-Mar-1990,2707.21
1-Apr-1990,2656.76
1-May-1990,2876.66
1-Jun-1990,2880.69
1-Jul-1990,2905.20
1-Aug-1990,2614.36
1-Sep-1990,2452.48
1-Oct-1990,2442.33
1-Nov-1990,2559.65
1-Dec-1990,2633.66
1-Jan-1991,2736.39
1-Feb-1991,2882.18
1-Mar-1991,2913.86
1-Apr-1991,2887.87
1-May-1991,3027.50
1-Jun-1991,2906.75
1-Jul-1991,3024.82
1-Aug-1991,3043.60
1-Sep-1991,3016.77
1-Oct-1991,3069.10
1-Nov-1991,2894.68
1-Dec-1991,3168.83
1-Jan-1992,3223.39
1-Feb-1992,3267.67
1-Mar-1992,3235.47
1-Apr-1992,3359.12
1-May-1992,3396.88
1-Jun-1992,3318.52
1-Jul-1992,3393.78
1-Aug-1992,3257.35
1-Sep-1992,3271.66
1-Oct-1992,3226.28
1-Nov-1992,3305.16
1-Dec-1992,3301.11
1-Jan-1993,3310.03
1-Feb-1993,3370.81
1-Mar-1993,3435.11
1-Apr-1993,3427.55
1-May-1993,3527.43
1-Jun-1993,3516.08
1-Jul-1993,3539.47
1-Aug-1993,3651.25
1-Sep-1993,3555.12
1-Oct-1993,3680.59
1-Nov-1993,3683.95
1-Dec-1993,3754.09
1-Jan-1994,3978.36
1-Feb-1994,3832.02
1-Mar-1994,3635.96
1-Apr-1994,3681.69
1-May-1994,3758.37
1-Jun-1994,3624.96
1-Jul-1994,3764.50
1-Aug-1994,3913.42
1-Sep-1994,3843.19
1-Oct-1994,3908.12
1-Nov-1994,3739.23
1-Dec-1994,3834.44
1-Jan-1995,3843.86
1-Feb-1995,4011.05
1-Mar-1995,4157.69
1-Apr-1995,4321.27
1-May-1995,4465.14
1-Jun-1995,4556.10
1-Jul-1995,4708.47
1-Aug-1995,4610.56
1-Sep-1995,4789.08
1-Oct-1995,4755.48
1-Nov-1995,5074.49
1-Dec-1995,5117.12
1-Jan-1996,5395.30
1-Feb-1996,5485.62
1-Mar-1996,5587.14
1-Apr-1996,5569.08
1-May-1996,5643.18
1-Jun-1996,5654.63
1-Jul-1996,5528.91
1-Aug-1996,5616.21
1-Sep-1996,5882.17
1-Oct-1996,6029.38
1-Nov-1996,6521.70
1-Dec-1996,6448.27
1-Jan-1997,6813.09
1-Feb-1997,6877.74
1-Mar-1997,6583.48
1-Apr-1997,7008.99
1-May-1997,7331.04
1-Jun-1997,7672.79
1-Jul-1997,8222.61
1-Aug-1997,7622.42
1-Sep-1997,7945.26
1-Oct-1997,7442.08
1-Nov-1997,7823.13
1-Dec-1997,7908.25
1-Jan-1998,7906.50
1-Feb-1998,8545.72
1-Mar-1998,8799.81
1-Apr-1998,9063.37
1-May-1998,8899.95
1-Jun-1998,8952.02
1-Jul-1998,8883.29
1-Aug-1998,7539.07
1-Sep-1998,7842.62
1-Oct-1998,8592.10
1-Nov-1998,9116.55
1-Dec-1998,9181.43
1-Jan-1999,9358.83
1-Feb-1999,9306.58
1-Mar-1999,9786.16
1-Apr-1999,10789.04
1-May-1999,10559.74
1-Jun-1999,10970.80
1-Jul-1999,10655.15
1-Aug-1999,10829.28
1-Sep-1999,10336.95
1-Oct-1999,10729.86
1-Nov-1999,10877.81
1-Dec-1999,11497.12
1-Jan-2000,10940.53
1-Feb-2000,10128.31
1-Mar-2000,10921.92
1-Apr-2000,10733.91
1-May-2000,10522.33
1-Jun-2000,10447.89
1-Jul-2000,10521.98
1-Aug-2000,11215.10
1-Sep-2000,10650.92
1-Oct-2000,10971.14
1-Nov-2000,10414.49
1-Dec-2000,10787.99
1-Jan-2000,10887.36
1-Feb-2001,10495.28
1-Mar-2001,9878.78
1-Apr-2001,10734.97
1-May-2001,10911.94
1-Jun-2001,10502.40
1-Jul-2001,10522.81
1-Aug-2001,9949.75
1-Sep-2001,8847.56
1-Oct-2001,9075.14
1-Nov-2001,9851.56
1-Dec-2001,10021.57
1-Jan-2002,9920.00
1-Feb-2002,10106.13
1-Mar-2002,10403.94
1-Apr-2002,9946.22
1-May-2002,9925.25
1-Jun-2002,9243.26
1-Jul-2002,8736.59
1-Aug-2002,8663.50
1-Sep-2002,7591.93
1-Oct-2002,8397.03
1-Nov-2002,8896.09
1-Dec-2002,8341.63
1-Jan-2003,8053.81
1-Feb-2003,7891.08
1-Mar-2003,7992.13
1-Apr-2003,8480.09
1-May-2003,8850.26
1-Jun-2003,8985.44
1-Jul-2003,9233.80
1-Aug-2003,9415.82
1-Sep-2003,9275.06
1-Oct-2003,9801.12
1-Nov-2003,9782.46
1-Dec-2003,10453.92
1-Jan-2004,10488.07
1-Feb-2004,10583.92
1-Mar-2004,10357.70
1-Apr-2004,10225.57
1-May-2004,10188.45
1-Jun-2004,10435.48
1-Jul-2004,10139.71
1-Aug-2004,10173.92
1-Sep-2004,10080.27
1-Oct-2004,10027.47
1-Nov-2004,10428.02
1-Dec-2004,10783.01
1-Jan-2005,10489.94
1-Feb-2005,10766.23
1-Mar-2005,10503.76
1-Apr-2005,10192.51
1-May-2005,10467.48
1-Jun-2005,10274.97
1-Jul-2005,10640.91
1-Aug-2005,10481.60
1-Sep-2005,10568.70
1-Oct-2005,10440.07
1-Nov-2005,10805.87
1-Dec-2005,10717.50
1-Jan-2006,10864.86
1-Feb-2006,10993.41
1-Mar-2006,11109.32
1-Apr-2006,11367.14
1-May-2006,11168.31
1-Jun-2006,11150.22
